step,time,KE,PE,E_total,E_per_atom
1200,6.0,115.88100000000007,-640.1750296054068,-524.2940296054068,-4.854574348198211
1210,6.05,117.08849456945846,-641.3762011459964,-524.287706576538,-4.854515801634611
1220,6.1000000000000005,110.20518729499673,-634.4811451683958,-524.275957873399,-4.854407017346286
1230,6.15,110.64204041038413,-634.9514129246626,-524.3093725142785,-4.854716412169245
1240,6.2,114.22623139884149,-638.5298507795535,-524.303619380712,-4.854663142414
1250,6.25,109.31616055359072,-633.5932888025976,-524.2771282490069,-4.854417854157471
1260,6.3,106.4465589748258,-630.730305605725,-524.2837466308991,-4.854479135471288
1270,6.3500000000000005,112.68261204007102,-636.9894631779731,-524.3068511379021,-4.854693066091686
1280,6.4,106.40537917678836,-630.69357670544,-524.2881975286516,-4.854520347487515
1290,6.45,103.16076381103606,-627.4497542640672,-524.2889904530311,-4.854527689379918
1300,6.5,115.88099999999984,-632.9779130371145,-517.0969130371146,-4.787934379973284
1310,6.55,112.42522072756742,-629.5023665630625,-517.0771458354951,-4.787751350328659
1320,6.6000000000000005,111.06573371127254,-628.1592052549535,-517.093471543681,-4.787902514293342
1330,6.65,115.3911677740852,-632.4838898544124,-517.0927220803271,-4.787895574817844
1340,6.7,116.44932517045272,-633.5241667783736,-517.0748416079208,-4.787730014888155
1350,6.75,117.6955646828292,-634.7772307733836,-517.0816660905544,-4.7877932045421705
1360,6.8,115.33634819273375,-632.4113128388182,-517.0749646460844,-4.787731154130411
1370,6.8500000000000005,114.27598131574788,-631.342796745213,-517.0668154294651,-4.7876556984209735
1380,6.9,113.33327286078121,-630.4130017204471,-517.0797288596659,-4.7877752672191285
1390,6.95,114.12067765389399,-631.2100240819599,-517.0893464280659,-4.7878643187783885
1400,7.0,115.88100000000004,-634.6516514890162,-518.7706514890161,-4.803431958231631
1410,7.05,118.87376021319922,-637.6629848098792,-518.7892245966799,-4.8036039314507395
1420,7.1000000000000005,117.61292155077302,-636.3986535134203,-518.7857319626473,-4.803571592246734
1430,7.15,120.04500615607964,-638.8245296266806,-518.7795234706009,-4.803514106209268
1440,7.2,118.7444774517072,-637.5247319291258,-518.7802544774186,-4.803520874790912
1450,7.25,111.07300371812468,-629.8465990834517,-518.773595365327,-4.80345921634562
1460,7.3,114.44621796761227,-633.2503892761338,-518.8041713085215,-4.803742326930755
1470,7.3500000000000005,104.42197806334377,-623.1915496137361,-518.7695715503924,-4.803421958799929
1480,7.4,113.87090237543931,-632.6724298931339,-518.8015275176946,-4.803717847386061
1490,7.45,114.55522238170232,-633.3557581396168,-518.8005357579145,-4.803708664425135
1500,7.5,115.88099999999993,-621.5299073736668,-505.6489073736669,-4.681934327533953
1510,7.55,130.1744531544628,-635.8287796849525,-505.65432653048964,-4.6819845049119415
1520,7.6000000000000005,135.95713548337895,-641.6160219307384,-505.65888644735946,-4.682026726364439
1530,7.65,127.63640169545123,-633.2830586996641,-505.6466570042129,-4.681913490779749
1540,7.7,126.50546535612133,-632.1796741843227,-505.67420882820136,-4.682168600261123
1550,7.75,121.38223525197374,-627.0354570085505,-505.6532217565767,-4.681974275523858
1560,7.8,125.23864088874994,-630.899886572422,-505.66124568367206,-4.682048571145112
1570,7.8500000000000005,123.76862068223245,-629.4201072343163,-505.6514865520839,-4.681958208815591
1580,7.9,131.93152582326445,-637.6114525641618,-505.6799267408974,-4.682221543897198
1590,7.95,126.08429244827983,-631.7393444293153,-505.6550519810355,-4.6819912220466255
1600,8.0,115.88100000000004,-631.1743759059076,-515.2933759059075,-4.771234962091736
1610,8.05,112.61244797552516,-627.8939933461563,-515.2815453706312,-4.7711254200984365
1620,8.1,118.85240178399602,-634.1574489558074,-515.3050471718113,-4.771343029368624
1630,8.15,117.35335275689022,-632.6177949349238,-515.2644421780336,-4.770967057204015
1640,8.2,127.30362114879892,-642.6103378131074,-515.3067166643085,-4.771358487632487
1650,8.25,133.28207653925233,-648.608351676359,-515.3262751371067,-4.77153958460284
1660,8.3,125.88392498738536,-641.1751911494122,-515.2912661620268,-4.771215427426174
1670,8.35,126.9670602788681,-642.2590186054086,-515.2919583265406,-4.771221836356857
1680,8.4,123.79084976116827,-639.0786988916499,-515.2878491304816,-4.7711837882452
1690,8.45,120.71030330348042,-636.025876423471,-515.3155731199906,-4.771440491851765
1700,8.5,115.88100000000011,-623.289539607017,-507.4085396070169,-4.69822721858349
1710,8.55,127.00423934022731,-634.4645154231913,-507.460276082964,-4.6987062600274445
1720,8.6,119.15786983058553,-626.5665131014716,-507.4086432708861,-4.698228178434131
1730,8.65,124.11646651647769,-631.5626536488237,-507.44618713234604,-4.6985758067809815
1740,8.700000000000001,122.26192183373882,-629.6951218453747,-507.4332000116359,-4.698455555663295
1750,8.75,121.83161555840621,-629.2359061920814,-507.4042906336752,-4.698187876237733
1760,8.8,131.7768031697092,-639.2290690064755,-507.4522658367663,-4.698632091081169
1770,8.85,123.11067318526584,-630.523209975083,-507.4125367898171,-4.698264229535344
1780,8.9,127.64110222245532,-635.0634367613056,-507.42233453885035,-4.698354949433799
1790,8.950000000000001,130.1976723858744,-637.6506856746723,-507.45301328879793,-4.698639011933314
1800,9.0,115.88100000000003,-637.4701693583773,-521.5891693583774,-4.829529345910902
1810,9.05,125.86845332790237,-647.4698892257154,-521.6014358978131,-4.82964292497975
1820,9.1,112.2714145266655,-633.85582812321,-521.5844135965446,-4.829485311079116
1830,9.15,106.16684829984546,-627.7700935802158,-521.6032452803703,-4.829659678521947
1840,9.200000000000001,112.37383494005681,-633.9817587241872,-521.6079237841304,-4.829702998001208
1850,9.25,115.35413352214269,-636.9690069209352,-521.6148733987925,-4.829767346285116
1860,9.3,115.92696036789881,-637.5290880881438,-521.602127720245,-4.829649330743009
1870,9.35,121.5166151638954,-643.1179596951787,-521.6013445312833,-4.829642078993364
1880,9.4,123.89402588519648,-645.5184942478095,-521.624468362613,-4.829856188542713
1890,9.450000000000001,116.59920512139846,-638.1783566728373,-521.5791515514388,-4.829436588439249
1900,9.5,115.8809999999999,-644.1351671119106,-528.2541671119108,-4.891242288073248
1910,9.55,111.74932216651817,-639.9832993159745,-528.2339771494563,-4.891055343976448
1920,9.6,113.43054281047729,-641.6720591347276,-528.2415163242504,-4.891125151150466
1930,9.65,114.22138177887976,-642.4589932449505,-528.2376114660708,-4.8910889950562115
1940,9.700000000000001,112.1837073519277,-640.4241110568919,-528.2404037049641,-4.891114849120038
1950,9.75,122.31676904924373,-650.5908501906702,-528.2740811414264,-4.8914266772354305
1960,9.8,112.42795199155532,-640.6460284949945,-528.2180765034392,-4.890908115772585
1970,9.85,111.09243257835398,-639.3374698394388,-528.2450372610848,-4.891157752417452
1980,9.9,107.16594938905875,-635.413668915575,-528.2477195265163,-4.891182588208484
1990,9.950000000000001,113.8310225353656,-642.0628873961956,-528.23186486083,-4.891035785748426
2000,10.0,115.88100000000004,-651.9437712938137,-536.0627712938136,-4.963544178646423
2010,10.05,105.51817633530423,-641.5430994648759,-536.0249231295717,-4.963193732681219
2020,10.1,108.14192191042302,-644.1954490248173,-536.0535271143943,-4.96345858439254
2030,10.15,105.32531828802787,-641.40053455091,-536.0752162628821,-4.963659409841501
2040,10.200000000000001,112.36624155121312,-648.4442295558506,-536.0779880046375,-4.963685074117014
2050,10.25,103.4535484189619,-639.4814363626891,-536.0278879437273,-4.963221184664142
2060,10.3,106.04486879025139,-642.1065212648024,-536.061652474551,-4.963533819208806
