step,time,T,P,PE,KE,E_total,E_per_atom,density,virial,min_r,max_f,p_COM
230,1.1500000000000001,0.6642017946043978,-2.1996998850528926,-651.3267111899748,106.60438803400584,-544.722323155969,-5.04372521440712,0.8442,-766.9321566672036,0.9608062247450967,36.80296731676357,2.2598987826730614e-14
240,1.2,0.6647204106577571,-2.1252928967182694,-651.4120743468704,106.68762591057002,-544.7244484363005,-5.043744892928708,0.8442,-738.5431351763125,0.9823542611991836,27.41919163047231,1.9874620194460183e-14
250,1.25,0.6386486665631137,-1.9586215421733537,-647.2138257590651,102.50311098337974,-544.7107147756853,-5.043617729404494,0.8442,-666.1282060425589,0.9560346736511435,42.982489891554216,2.1290896626270462e-14
260,1.3,0.6424507017655101,-2.0097749121795756,-647.8546918437941,103.11333763336437,-544.7413542104297,-5.043901427874349,0.8442,-686.992488904681,0.9558390036665843,38.449845283343386,2.1863308455429285e-14
270,1.35,0.614112752660729,-1.8736914252864452,-643.2901908648267,98.565096802047,-544.7250940627797,-5.043750870951664,0.8442,-625.582789469863,0.9424197202628946,48.08667852737254,1.7689476708971776e-14
280,1.4000000000000001,0.6443803896909094,-2.0432646011201605,-648.1437201416093,103.42305254539096,-544.7206675962183,-5.043709885150169,0.8442,-700.4708933134172,0.9596845184993987,43.135082931915534,1.9958864401792627e-14
290,1.45,0.6278211991102469,-1.8508482202848753,-645.4867005934083,100.76530245719462,-544.7213981362137,-5.043716649409386,0.8442,-621.2572111935311,0.9677238739870732,31.94586419967286,1.8456435182227042e-14
300,1.5,0.7219999999999998,-1.4479750489821235,-639.3112169753089,115.88099999999996,-523.4302169753089,-4.846576083104712,0.8442,-497.1503093460002,0.9736222432499921,31.988208011369647,2.3380279435614256e-14
310,1.55,0.6712151451175706,-1.1750256502085756,-631.1195999012576,107.73003079137008,-523.3895691098876,-4.8461997139804405,0.8442,-375.9393174744587,0.9191195350026932,73.97293088076576,2.358979420690741e-14
320,1.6,0.6853727440176465,-1.2196808372228525,-633.4089426043015,110.00232541483226,-523.4066171894692,-4.84635756656916,0.8442,-397.6648308242022,0.9660627343552596,36.48544951219807,2.529969056975485e-14
